data_source,study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,year,latitude,longitude,species_code,code_type
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R1,0,3,1.03015265085433,0.4,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R1,3,6,1.09917921070623,0.25,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R1,6,10,0.881412807238364,0.97,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R1,10,15,1.10935833645321,0.45,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R2,0,3,0.814380989339873,0.34,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R2,3,6,1.32571399050551,0.69,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R2,6,10,1.20437001776044,0.3,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R2,10,15,1.24107242087697,0.34,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R3,0,3,1.17825587469792,0.12,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R3,3,6,1.39280522624943,0.16,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R3,6,10,1.26842669925606,0.44,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R3,10,15,1.23127356934069,0.17,2022,-32.7716,18.142872,Zostera capensis,Genus species
Bossert_et_al_2024,Bossert_et_al_2024,Berg,LWR_SS1_R4,0,3,0.831951695057218,1.33,2022,-32.7716,18.142872,Zostera capensis,Genus species
